iter	Passed	Remaining
0	0	524
1	0	325
2	0	254
3	0	231
4	1	215
5	1	204
6	1	195
7	1	189
8	1	184
9	1	180
10	2	183
11	2	187
12	2	183
13	2	183
14	2	182
15	2	180
16	3	181
17	3	187
18	3	183
19	3	179
20	3	177
21	3	175
22	4	171
23	4	173
24	4	173
25	4	173
26	4	171
27	4	168
28	4	166
29	5	163
30	5	161
31	5	159
32	5	157
33	5	160
34	5	161
35	5	160
36	6	158
37	6	158
38	6	158
39	6	157
40	6	155
41	6	153
42	6	151
43	6	150
44	7	149
45	7	149
46	7	152
47	7	152
48	7	151
49	7	148
50	7	147
51	8	147
52	8	148
53	8	147
54	8	146
55	8	145
56	8	143
57	8	142
58	8	141
59	9	141
60	9	140
61	9	140
62	9	140
63	9	139
64	9	138
65	9	137
66	9	136
67	9	135
68	9	134
69	10	133
70	10	133
71	10	132
72	10	131
73	10	130
74	10	130
75	10	128
76	10	127
77	10	126
78	10	125
79	10	124
80	10	124
81	11	123
82	11	123
83	11	122
84	11	122
85	11	122
86	11	121
87	11	121
88	11	121
89	11	120
90	11	119
91	12	118
92	12	118
93	12	117
94	12	117
95	12	116
96	12	116
97	12	115
98	12	115
99	12	115
100	12	115
101	13	114
102	13	113
103	13	113
104	13	113
105	13	112
106	13	112
107	13	112
108	13	112
109	13	111
110	13	111
111	13	110
112	13	109
113	14	109
114	14	108
115	14	108
116	14	108
117	14	107
118	14	106
119	14	106
120	14	106
121	14	106
122	14	105
123	14	105
124	14	104
125	15	104
126	15	104
127	15	103
128	15	103
129	15	103
130	15	102
131	15	102
132	15	101
133	15	101
134	15	101
135	15	101
136	16	101
137	16	100
138	16	100
139	16	99
140	16	99
141	16	99
142	16	99
143	16	98
144	16	98
145	16	97
146	16	97
147	16	97
148	17	97
149	17	97
150	17	96
151	17	96
152	17	95
153	17	95
154	17	95
155	17	95
156	17	94
157	17	94
158	17	94
159	17	93
160	17	93
161	18	93
162	18	92
163	18	92
164	18	92
165	18	92
166	18	91
167	18	91
168	18	91
169	18	90
170	18	90
171	18	89
172	18	89
173	18	89
174	18	88
175	18	88
176	18	88
177	19	87
178	19	87
179	19	87
180	19	87
181	19	86
182	19	86
183	19	86
184	19	85
185	19	85
186	19	85
187	19	84
188	19	84
189	19	84
190	19	83
191	19	83
192	19	83
193	19	82
194	20	82
195	20	82
196	20	82
197	20	81
198	20	81
199	20	81
200	20	81
201	20	80
202	20	80
203	20	80
204	20	80
205	20	79
206	20	79
207	20	79
208	20	79
209	21	79
210	21	78
211	21	78
212	21	78
213	21	78
214	21	77
215	21	77
216	21	77
217	21	77
218	21	77
219	21	77
220	21	76
221	21	76
222	21	76
223	22	76
224	22	76
225	22	75
226	22	75
227	22	75
228	22	75
229	22	75
230	22	75
231	22	75
232	22	74
233	22	74
234	22	74
235	22	73
236	22	73
237	22	73
238	23	73
239	23	73
240	23	73
241	23	72
242	23	72
243	23	72
244	23	72
245	23	72
246	23	72
247	23	72
248	23	71
249	23	71
250	23	71
251	24	71
252	24	71
253	24	70
254	24	70
255	24	70
256	24	70
257	24	70
258	24	70
259	24	70
260	24	69
261	24	69
262	24	69
263	24	69
264	24	69
265	25	69
266	25	69
267	25	68
268	25	68
269	25	68
270	25	68
271	25	68
272	25	68
273	25	67
274	25	67
275	25	67
276	25	67
277	25	67
278	25	66
279	25	66
280	26	66
281	26	66
282	26	66
283	26	66
284	26	66
285	26	66
286	26	65
287	26	65
288	26	65
289	26	65
290	26	65
291	26	64
292	26	64
293	26	64
294	27	64
295	27	64
296	27	64
297	27	64
298	27	64
299	27	63
300	27	63
301	27	63
302	27	63
303	27	63
304	27	63
305	27	63
306	27	62
307	27	62
308	28	62
309	28	62
310	28	62
311	28	62
312	28	61
313	28	61
314	28	61
315	28	61
316	28	61
317	28	61
318	28	61
319	28	61
320	28	60
321	28	60
322	28	60
323	28	60
324	28	60
325	29	60
326	29	59
327	29	59
328	29	59
329	29	59
330	29	59
331	29	59
332	29	59
333	29	59
334	29	58
335	29	58
336	29	58
337	29	58
338	29	58
339	30	58
340	30	58
341	30	58
342	30	57
343	30	57
344	30	57
345	30	57
346	30	57
347	30	57
348	30	57
349	30	57
350	30	57
351	30	56
352	30	56
353	31	56
354	31	56
355	31	56
356	31	56
357	31	56
358	31	56
359	31	55
360	31	55
361	31	55
362	31	55
363	31	55
364	31	55
365	31	55
366	31	55
367	32	54
368	32	54
369	32	54
370	32	54
371	32	54
372	32	54
373	32	54
374	32	54
375	32	53
376	32	53
377	32	53
378	32	53
379	32	53
380	32	53
381	32	53
382	32	52
383	32	52
384	32	52
385	33	52
386	33	52
387	33	52
388	33	52
389	33	52
390	33	52
391	33	51
392	33	51
393	33	51
394	33	51
395	33	51
396	33	51
397	33	51
398	33	51
399	34	51
400	34	50
401	34	50
402	34	50
403	34	50
404	34	50
405	34	50
406	34	50
407	34	50
408	34	49
409	34	49
410	34	49
411	34	49
412	34	49
413	34	49
414	35	49
415	35	49
416	35	49
417	35	49
418	35	48
419	35	48
420	35	48
421	35	48
422	35	48
423	35	48
424	35	48
425	35	48
426	35	48
427	36	48
428	36	48
429	36	47
430	36	47
431	36	47
432	36	47
433	36	47
434	36	47
435	36	47
436	36	47
437	36	47
438	36	46
439	36	46
440	36	46
441	36	46
442	36	46
443	37	46
444	37	46
445	37	46
446	37	46
447	37	46
448	37	45
449	37	45
450	37	45
451	37	45
452	37	45
453	37	45
454	37	45
455	37	45
456	37	45
457	38	45
458	38	44
459	38	44
460	38	44
461	38	44
462	38	44
463	38	44
464	38	44
465	38	44
466	38	44
467	38	44
468	38	43
469	38	43
470	38	43
471	38	43
472	39	43
473	39	43
474	39	43
475	39	43
476	39	43
477	39	43
478	39	42
479	39	42
480	39	42
481	39	42
482	39	42
483	39	42
484	39	42
485	39	42
486	40	42
487	40	42
488	40	41
489	40	41
490	40	41
491	40	41
492	40	41
493	40	41
494	40	41
495	40	41
496	40	41
497	40	41
498	40	41
499	41	41
500	41	41
501	41	41
502	41	40
503	41	40
504	41	40
505	41	40
506	41	40
507	41	40
508	41	40
509	41	40
510	41	40
511	42	40
512	42	39
513	42	39
514	42	39
515	42	39
516	42	39
517	42	39
518	42	39
519	42	39
520	42	39
521	42	39
522	42	39
523	42	39
524	43	38
525	43	38
526	43	38
527	43	38
528	43	38
529	43	38
530	43	38
531	43	38
532	43	38
533	43	38
534	43	37
535	43	37
536	43	37
537	43	37
538	43	37
539	43	37
540	44	37
541	44	37
542	44	37
543	44	37
544	44	36
545	44	36
546	44	36
547	44	36
548	44	36
549	44	36
550	44	36
551	44	36
552	44	36
553	44	36
554	44	36
555	45	35
556	45	35
557	45	35
558	45	35
559	45	35
560	45	35
561	45	35
562	45	35
563	45	35
564	45	35
565	45	35
566	45	35
567	45	34
568	46	34
569	46	34
570	46	34
571	46	34
572	46	34
573	46	34
574	46	34
575	46	34
576	46	34
577	46	34
578	46	33
579	46	33
580	46	33
581	46	33
582	46	33
583	46	33
584	47	33
585	47	33
586	47	33
587	47	33
588	47	33
589	47	32
590	47	32
591	47	32
592	47	32
593	47	32
594	47	32
595	47	32
596	47	32
597	48	32
598	48	32
599	48	32
600	48	31
601	48	31
602	48	31
603	48	31
604	48	31
605	48	31
606	48	31
607	48	31
608	48	31
609	48	31
610	48	31
611	48	31
612	49	30
613	49	30
614	49	30
615	49	30
616	49	30
617	49	30
618	49	30
619	49	30
620	49	30
621	49	30
622	49	30
623	49	29
624	49	29
625	49	29
626	49	29
627	50	29
628	50	29
629	50	29
630	50	29
631	50	29
632	50	29
633	50	29
634	50	28
635	50	28
636	50	28
637	50	28
638	50	28
639	50	28
640	50	28
641	50	28
642	51	28
643	51	28
644	51	28
645	51	28
646	51	27
647	51	27
648	51	27
649	51	27
650	51	27
651	51	27
652	51	27
653	51	27
654	51	27
